연번,참여대상,운영학기,프로그램명,주제,목적,운영부서,재원,"만족도 점수
 (5점 만점)",수료자
1,학생,2학기,공동교육콘텐츠활용비교과,근대시대,지역의 역사·문화 이해를 통한 정체성 강화 교육,공동교육센터,비예산,4.6,57
2,학생,2학기,공동교육콘텐츠활용비교과,조선시대,지역의 역사·문화 이해를 통한 정체성 강화 교육,공동교육센터,비예산,4.6,61
3,학생,2학기,공동교육콘텐츠활용비교과,고려시대,지역의 역사·문화 이해를 통한 정체성 강화 교육,공동교육센터,비예산,4.6,59
4,학생,2학기,공동교육,경남지역 기반 대학생 맞춤형 공동교육 실시를 통한 협업 강화 및 지역 대학 간 유대감 형성,경남지역 기반 대학생 맞춤형 공동교육 실시를 통한 협업 강화 및 지역 대학 간 유대감 형성,공동교육센터,글로컬대학30,4.65,45
5,교원,1학기,교수법특강,1차 대학생의 학습 문제 이해 및 집중력 향상 전략," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.4,238
6,교원,1학기,교수법특강,2차 인공지능과 대학교육의 변화," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.2,358
7,교원,1학기,교수법특강,3차 학문분야별 강의식 수업 전략," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.4,122
8,교원,1학기,교수법특강,4차 지산학 연계를 위한 캡스톤디자인 설계 및 운영," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.5,70
9,교원,1학기,교수법특강,5차 문제해결형 프로젝트 기반 학습," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.4,104
10,교원,1학기,교수법특강,6차 개척강의상 수상자 강연①,수상자의 우수 강의 사례 및 강의 노하우 공유를 통한 강의 방법 개선,교수학습팀,국립대학육성사업,4.5,94
11,교원,1학기,교수법특강,7차 개척강의상 수상자 강연②,수상자의 우수 강의 사례 및 강의 노하우 공유를 통한 강의 방법 개선,교수학습팀,국립대학육성사업,4.5,85
12,교원,1학기,교수법특강,8차 MZ학습자 맞춤형 공감수업 커뮤니케이션," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.3,49
13,교원,1학기,교수법특강,9차 내 과목에 맞는 교수방법과 에듀테크 찾아가기," 최신 교수 이론, 강의 전략, 학생상담 기법 등 강의의 질 향상에 도움이 되는 다양한 주제의 교수법 특강 제공",교수학습팀,국립대학육성사업,4.5,76
